GSM,condition,title,source_name,organism,characteristics,molecule,extract_protocol,data_processing,platform
GSM3219558,healthy,NF1,left ventricle,Homo sapiens,tissue: left ventricle; disease: non-failing; age: 43; Sex: Male,polyA RNA,"Frozen tissue was placed in liquid nitrogen and broken up using mortar and pestle to obtain a piece approximately 2 x 2 x 2 mm in size, macroscopically free of fatty infiltration, fibrosis, and blood. Tissue was placed immediately in TRIzol reagent (Thermo Fisher Scientific, Waltham, MA) and mechanically homogenized using an IKA T25 Ultra-Turaxx homogenizer. Tissue was homogenized for approximately 60 seconds, or until no visible chunks of tissue remained. RNA was extracted using the mirVana miRNA isolation kit (Thermo Fisher Scientific) enriched for total RNA isolation according to manufacturer’s instructions with the exception of replacing the Lysis/Binding Buffer with TRIzol. All samples were DNase treated using TURBO DNA-free Kit (Thermo Fisher Scientific). RNA was quantified at 260nm using a NanoDrop1000 (Thermo Fisher Scientific), and RNA integrity (RIN) was measured using an Agilent 2100 Bioanalyzer with the RNA 6000 Nano Assay (Agilent, Santa Clara, CA). All samples were required to demonstrate RIN ≥ 7.0, and ranged from 7.0-9.3.; PolyA transcripts were isolated from 1µg total RNA using oligo-dT beads and the cDNA libraries were constructed using the TruSeq Stranded mRNA Library Prep Kit and protocol from Illumina (Illumina Inc., San Diego, CA).","Reads were filtered for quality and aligned to the GRchr37/hg19 version of the reference human genome using gSNAP with parameters: --max-mismatches=0.06 -i2 -n2 --force-xs-dir and tolerance to SNPs in dbSNP build 138; Expression in terms of RPKM (reads per kilobase of transcript per million reads mapped) was derived using Cufflinks and Ensembl’s GRch37.82 GTF.; Due to the high proportion of cardiac mRNA reads known to map to the mitochondria, mitochondrial genes were removed from the GTF file for a final set of 57,974 annotations.; Genome_build: Hg19; Supplementary_files_format_and_content: Tab-delimited text files include RPKM values for each gene and sample",GPL16791
GSM3219559,healthy,NF10,left ventricle,Homo sapiens,tissue: left ventricle; disease: non-failing; age: 54; Sex: Male,polyA RNA,"Frozen tissue was placed in liquid nitrogen and broken up using mortar and pestle to obtain a piece approximately 2 x 2 x 2 mm in size, macroscopically free of fatty infiltration, fibrosis, and blood. Tissue was placed immediately in TRIzol reagent (Thermo Fisher Scientific, Waltham, MA) and mechanically homogenized using an IKA T25 Ultra-Turaxx homogenizer. Tissue was homogenized for approximately 60 seconds, or until no visible chunks of tissue remained. RNA was extracted using the mirVana miRNA isolation kit (Thermo Fisher Scientific) enriched for total RNA isolation according to manufacturer’s instructions with the exception of replacing the Lysis/Binding Buffer with TRIzol. All samples were DNase treated using TURBO DNA-free Kit (Thermo Fisher Scientific). RNA was quantified at 260nm using a NanoDrop1000 (Thermo Fisher Scientific), and RNA integrity (RIN) was measured using an Agilent 2100 Bioanalyzer with the RNA 6000 Nano Assay (Agilent, Santa Clara, CA). All samples were required to demonstrate RIN ≥ 7.0, and ranged from 7.0-9.3.; PolyA transcripts were isolated from 1µg total RNA using oligo-dT beads and the cDNA libraries were constructed using the TruSeq Stranded mRNA Library Prep Kit and protocol from Illumina (Illumina Inc., San Diego, CA).","Reads were filtered for quality and aligned to the GRchr37/hg19 version of the reference human genome using gSNAP with parameters: --max-mismatches=0.06 -i2 -n2 --force-xs-dir and tolerance to SNPs in dbSNP build 138; Expression in terms of RPKM (reads per kilobase of transcript per million reads mapped) was derived using Cufflinks and Ensembl’s GRch37.82 GTF.; Due to the high proportion of cardiac mRNA reads known to map to the mitochondria, mitochondrial genes were removed from the GTF file for a final set of 57,974 annotations.; Genome_build: Hg19; Supplementary_files_format_and_content: Tab-delimited text files include RPKM values for each gene and sample",GPL16791
GSM3219560,healthy,NF11,left ventricle,Homo sapiens,tissue: left ventricle; disease: non-failing; age: 41; Sex: Female,polyA RNA,"Frozen tissue was placed in liquid nitrogen and broken up using mortar and pestle to obtain a piece approximately 2 x 2 x 2 mm in size, macroscopically free of fatty infiltration, fibrosis, and blood. Tissue was placed immediately in TRIzol reagent (Thermo Fisher Scientific, Waltham, MA) and mechanically homogenized using an IKA T25 Ultra-Turaxx homogenizer. Tissue was homogenized for approximately 60 seconds, or until no visible chunks of tissue remained. RNA was extracted using the mirVana miRNA isolation kit (Thermo Fisher Scientific) enriched for total RNA isolation according to manufacturer’s instructions with the exception of replacing the Lysis/Binding Buffer with TRIzol. All samples were DNase treated using TURBO DNA-free Kit (Thermo Fisher Scientific). RNA was quantified at 260nm using a NanoDrop1000 (Thermo Fisher Scientific), and RNA integrity (RIN) was measured using an Agilent 2100 Bioanalyzer with the RNA 6000 Nano Assay (Agilent, Santa Clara, CA). All samples were required to demonstrate RIN ≥ 7.0, and ranged from 7.0-9.3.; PolyA transcripts were isolated from 1µg total RNA using oligo-dT beads and the cDNA libraries were constructed using the TruSeq Stranded mRNA Library Prep Kit and protocol from Illumina (Illumina Inc., San Diego, CA).","Reads were filtered for quality and aligned to the GRchr37/hg19 version of the reference human genome using gSNAP with parameters: --max-mismatches=0.06 -i2 -n2 --force-xs-dir and tolerance to SNPs in dbSNP build 138; Expression in terms of RPKM (reads per kilobase of transcript per million reads mapped) was derived using Cufflinks and Ensembl’s GRch37.82 GTF.; Due to the high proportion of cardiac mRNA reads known to map to the mitochondria, mitochondrial genes were removed from the GTF file for a final set of 57,974 annotations.; Genome_build: Hg19; Supplementary_files_format_and_content: Tab-delimited text files include RPKM values for each gene and sample",GPL16791
GSM3219561,healthy,NF12,left ventricle,Homo sapiens,tissue: left ventricle; disease: non-failing; age: 56; Sex: Female,polyA RNA,"Frozen tissue was placed in liquid nitrogen and broken up using mortar and pestle to obtain a piece approximately 2 x 2 x 2 mm in size, macroscopically free of fatty infiltration, fibrosis, and blood. Tissue was placed immediately in TRIzol reagent (Thermo Fisher Scientific, Waltham, MA) and mechanically homogenized using an IKA T25 Ultra-Turaxx homogenizer. Tissue was homogenized for approximately 60 seconds, or until no visible chunks of tissue remained. RNA was extracted using the mirVana miRNA isolation kit (Thermo Fisher Scientific) enriched for total RNA isolation according to manufacturer’s instructions with the exception of replacing the Lysis/Binding Buffer with TRIzol. All samples were DNase treated using TURBO DNA-free Kit (Thermo Fisher Scientific). RNA was quantified at 260nm using a NanoDrop1000 (Thermo Fisher Scientific), and RNA integrity (RIN) was measured using an Agilent 2100 Bioanalyzer with the RNA 6000 Nano Assay (Agilent, Santa Clara, CA). All samples were required to demonstrate RIN ≥ 7.0, and ranged from 7.0-9.3.; PolyA transcripts were isolated from 1µg total RNA using oligo-dT beads and the cDNA libraries were constructed using the TruSeq Stranded mRNA Library Prep Kit and protocol from Illumina (Illumina Inc., San Diego, CA).","Reads were filtered for quality and aligned to the GRchr37/hg19 version of the reference human genome using gSNAP with parameters: --max-mismatches=0.06 -i2 -n2 --force-xs-dir and tolerance to SNPs in dbSNP build 138; Expression in terms of RPKM (reads per kilobase of transcript per million reads mapped) was derived using Cufflinks and Ensembl’s GRch37.82 GTF.; Due to the high proportion of cardiac mRNA reads known to map to the mitochondria, mitochondrial genes were removed from the GTF file for a final set of 57,974 annotations.; Genome_build: Hg19; Supplementary_files_format_and_content: Tab-delimited text files include RPKM values for each gene and sample",GPL16791
GSM3219562,healthy,NF13,left ventricle,Homo sapiens,tissue: left ventricle; disease: non-failing; age: 58; Sex: Female,polyA RNA,"Frozen tissue was placed in liquid nitrogen and broken up using mortar and pestle to obtain a piece approximately 2 x 2 x 2 mm in size, macroscopically free of fatty infiltration, fibrosis, and blood. Tissue was placed immediately in TRIzol reagent (Thermo Fisher Scientific, Waltham, MA) and mechanically homogenized using an IKA T25 Ultra-Turaxx homogenizer. Tissue was homogenized for approximately 60 seconds, or until no visible chunks of tissue remained. RNA was extracted using the mirVana miRNA isolation kit (Thermo Fisher Scientific) enriched for total RNA isolation according to manufacturer’s instructions with the exception of replacing the Lysis/Binding Buffer with TRIzol. All samples were DNase treated using TURBO DNA-free Kit (Thermo Fisher Scientific). RNA was quantified at 260nm using a NanoDrop1000 (Thermo Fisher Scientific), and RNA integrity (RIN) was measured using an Agilent 2100 Bioanalyzer with the RNA 6000 Nano Assay (Agilent, Santa Clara, CA). All samples were required to demonstrate RIN ≥ 7.0, and ranged from 7.0-9.3.; PolyA transcripts were isolated from 1µg total RNA using oligo-dT beads and the cDNA libraries were constructed using the TruSeq Stranded mRNA Library Prep Kit and protocol from Illumina (Illumina Inc., San Diego, CA).","Reads were filtered for quality and aligned to the GRchr37/hg19 version of the reference human genome using gSNAP with parameters: --max-mismatches=0.06 -i2 -n2 --force-xs-dir and tolerance to SNPs in dbSNP build 138; Expression in terms of RPKM (reads per kilobase of transcript per million reads mapped) was derived using Cufflinks and Ensembl’s GRch37.82 GTF.; Due to the high proportion of cardiac mRNA reads known to map to the mitochondria, mitochondrial genes were removed from the GTF file for a final set of 57,974 annotations.; Genome_build: Hg19; Supplementary_files_format_and_content: Tab-delimited text files include RPKM values for each gene and sample",GPL16791
GSM3219563,healthy,NF14,left ventricle,Homo sapiens,tissue: left ventricle; disease: non-failing; age: 60; Sex: Male,polyA RNA,"Frozen tissue was placed in liquid nitrogen and broken up using mortar and pestle to obtain a piece approximately 2 x 2 x 2 mm in size, macroscopically free of fatty infiltration, fibrosis, and blood. Tissue was placed immediately in TRIzol reagent (Thermo Fisher Scientific, Waltham, MA) and mechanically homogenized using an IKA T25 Ultra-Turaxx homogenizer. Tissue was homogenized for approximately 60 seconds, or until no visible chunks of tissue remained. RNA was extracted using the mirVana miRNA isolation kit (Thermo Fisher Scientific) enriched for total RNA isolation according to manufacturer’s instructions with the exception of replacing the Lysis/Binding Buffer with TRIzol. All samples were DNase treated using TURBO DNA-free Kit (Thermo Fisher Scientific). RNA was quantified at 260nm using a NanoDrop1000 (Thermo Fisher Scientific), and RNA integrity (RIN) was measured using an Agilent 2100 Bioanalyzer with the RNA 6000 Nano Assay (Agilent, Santa Clara, CA). All samples were required to demonstrate RIN ≥ 7.0, and ranged from 7.0-9.3.; PolyA transcripts were isolated from 1µg total RNA using oligo-dT beads and the cDNA libraries were constructed using the TruSeq Stranded mRNA Library Prep Kit and protocol from Illumina (Illumina Inc., San Diego, CA).","Reads were filtered for quality and aligned to the GRchr37/hg19 version of the reference human genome using gSNAP with parameters: --max-mismatches=0.06 -i2 -n2 --force-xs-dir and tolerance to SNPs in dbSNP build 138; Expression in terms of RPKM (reads per kilobase of transcript per million reads mapped) was derived using Cufflinks and Ensembl’s GRch37.82 GTF.; Due to the high proportion of cardiac mRNA reads known to map to the mitochondria, mitochondrial genes were removed from the GTF file for a final set of 57,974 annotations.; Genome_build: Hg19; Supplementary_files_format_and_content: Tab-delimited text files include RPKM values for each gene and sample",GPL16791
GSM3219564,healthy,NF15,left ventricle,Homo sapiens,tissue: left ventricle; disease: non-failing; age: 52; Sex: Male,polyA RNA,"Frozen tissue was placed in liquid nitrogen and broken up using mortar and pestle to obtain a piece approximately 2 x 2 x 2 mm in size, macroscopically free of fatty infiltration, fibrosis, and blood. Tissue was placed immediately in TRIzol reagent (Thermo Fisher Scientific, Waltham, MA) and mechanically homogenized using an IKA T25 Ultra-Turaxx homogenizer. Tissue was homogenized for approximately 60 seconds, or until no visible chunks of tissue remained. RNA was extracted using the mirVana miRNA isolation kit (Thermo Fisher Scientific) enriched for total RNA isolation according to manufacturer’s instructions with the exception of replacing the Lysis/Binding Buffer with TRIzol. All samples were DNase treated using TURBO DNA-free Kit (Thermo Fisher Scientific). RNA was quantified at 260nm using a NanoDrop1000 (Thermo Fisher Scientific), and RNA integrity (RIN) was measured using an Agilent 2100 Bioanalyzer with the RNA 6000 Nano Assay (Agilent, Santa Clara, CA). All samples were required to demonstrate RIN ≥ 7.0, and ranged from 7.0-9.3.; PolyA transcripts were isolated from 1µg total RNA using oligo-dT beads and the cDNA libraries were constructed using the TruSeq Stranded mRNA Library Prep Kit and protocol from Illumina (Illumina Inc., San Diego, CA).","Reads were filtered for quality and aligned to the GRchr37/hg19 version of the reference human genome using gSNAP with parameters: --max-mismatches=0.06 -i2 -n2 --force-xs-dir and tolerance to SNPs in dbSNP build 138; Expression in terms of RPKM (reads per kilobase of transcript per million reads mapped) was derived using Cufflinks and Ensembl’s GRch37.82 GTF.; Due to the high proportion of cardiac mRNA reads known to map to the mitochondria, mitochondrial genes were removed from the GTF file for a final set of 57,974 annotations.; Genome_build: Hg19; Supplementary_files_format_and_content: Tab-delimited text files include RPKM values for each gene and sample",GPL16791
GSM3219565,healthy,NF2,left ventricle,Homo sapiens,tissue: left ventricle; disease: non-failing; age: 46; Sex: Male,polyA RNA,"Frozen tissue was placed in liquid nitrogen and broken up using mortar and pestle to obtain a piece approximately 2 x 2 x 2 mm in size, macroscopically free of fatty infiltration, fibrosis, and blood. Tissue was placed immediately in TRIzol reagent (Thermo Fisher Scientific, Waltham, MA) and mechanically homogenized using an IKA T25 Ultra-Turaxx homogenizer. Tissue was homogenized for approximately 60 seconds, or until no visible chunks of tissue remained. RNA was extracted using the mirVana miRNA isolation kit (Thermo Fisher Scientific) enriched for total RNA isolation according to manufacturer’s instructions with the exception of replacing the Lysis/Binding Buffer with TRIzol. All samples were DNase treated using TURBO DNA-free Kit (Thermo Fisher Scientific). RNA was quantified at 260nm using a NanoDrop1000 (Thermo Fisher Scientific), and RNA integrity (RIN) was measured using an Agilent 2100 Bioanalyzer with the RNA 6000 Nano Assay (Agilent, Santa Clara, CA). All samples were required to demonstrate RIN ≥ 7.0, and ranged from 7.0-9.3.; PolyA transcripts were isolated from 1µg total RNA using oligo-dT beads and the cDNA libraries were constructed using the TruSeq Stranded mRNA Library Prep Kit and protocol from Illumina (Illumina Inc., San Diego, CA).","Reads were filtered for quality and aligned to the GRchr37/hg19 version of the reference human genome using gSNAP with parameters: --max-mismatches=0.06 -i2 -n2 --force-xs-dir and tolerance to SNPs in dbSNP build 138; Expression in terms of RPKM (reads per kilobase of transcript per million reads mapped) was derived using Cufflinks and Ensembl’s GRch37.82 GTF.; Due to the high proportion of cardiac mRNA reads known to map to the mitochondria, mitochondrial genes were removed from the GTF file for a final set of 57,974 annotations.; Genome_build: Hg19; Supplementary_files_format_and_content: Tab-delimited text files include RPKM values for each gene and sample",GPL16791
GSM3219566,healthy,NF3,left ventricle,Homo sapiens,tissue: left ventricle; disease: non-failing; age: 60; Sex: Male,polyA RNA,"Frozen tissue was placed in liquid nitrogen and broken up using mortar and pestle to obtain a piece approximately 2 x 2 x 2 mm in size, macroscopically free of fatty infiltration, fibrosis, and blood. Tissue was placed immediately in TRIzol reagent (Thermo Fisher Scientific, Waltham, MA) and mechanically homogenized using an IKA T25 Ultra-Turaxx homogenizer. Tissue was homogenized for approximately 60 seconds, or until no visible chunks of tissue remained. RNA was extracted using the mirVana miRNA isolation kit (Thermo Fisher Scientific) enriched for total RNA isolation according to manufacturer’s instructions with the exception of replacing the Lysis/Binding Buffer with TRIzol. All samples were DNase treated using TURBO DNA-free Kit (Thermo Fisher Scientific). RNA was quantified at 260nm using a NanoDrop1000 (Thermo Fisher Scientific), and RNA integrity (RIN) was measured using an Agilent 2100 Bioanalyzer with the RNA 6000 Nano Assay (Agilent, Santa Clara, CA). All samples were required to demonstrate RIN ≥ 7.0, and ranged from 7.0-9.3.; PolyA transcripts were isolated from 1µg total RNA using oligo-dT beads and the cDNA libraries were constructed using the TruSeq Stranded mRNA Library Prep Kit and protocol from Illumina (Illumina Inc., San Diego, CA).","Reads were filtered for quality and aligned to the GRchr37/hg19 version of the reference human genome using gSNAP with parameters: --max-mismatches=0.06 -i2 -n2 --force-xs-dir and tolerance to SNPs in dbSNP build 138; Expression in terms of RPKM (reads per kilobase of transcript per million reads mapped) was derived using Cufflinks and Ensembl’s GRch37.82 GTF.; Due to the high proportion of cardiac mRNA reads known to map to the mitochondria, mitochondrial genes were removed from the GTF file for a final set of 57,974 annotations.; Genome_build: Hg19; Supplementary_files_format_and_content: Tab-delimited text files include RPKM values for each gene and sample",GPL16791
GSM3219567,healthy,NF4,left ventricle,Homo sapiens,tissue: left ventricle; disease: non-failing; age: 46; Sex: Male,polyA RNA,"Frozen tissue was placed in liquid nitrogen and broken up using mortar and pestle to obtain a piece approximately 2 x 2 x 2 mm in size, macroscopically free of fatty infiltration, fibrosis, and blood. Tissue was placed immediately in TRIzol reagent (Thermo Fisher Scientific, Waltham, MA) and mechanically homogenized using an IKA T25 Ultra-Turaxx homogenizer. Tissue was homogenized for approximately 60 seconds, or until no visible chunks of tissue remained. RNA was extracted using the mirVana miRNA isolation kit (Thermo Fisher Scientific) enriched for total RNA isolation according to manufacturer’s instructions with the exception of replacing the Lysis/Binding Buffer with TRIzol. All samples were DNase treated using TURBO DNA-free Kit (Thermo Fisher Scientific). RNA was quantified at 260nm using a NanoDrop1000 (Thermo Fisher Scientific), and RNA integrity (RIN) was measured using an Agilent 2100 Bioanalyzer with the RNA 6000 Nano Assay (Agilent, Santa Clara, CA). All samples were required to demonstrate RIN ≥ 7.0, and ranged from 7.0-9.3.; PolyA transcripts were isolated from 1µg total RNA using oligo-dT beads and the cDNA libraries were constructed using the TruSeq Stranded mRNA Library Prep Kit and protocol from Illumina (Illumina Inc., San Diego, CA).","Reads were filtered for quality and aligned to the GRchr37/hg19 version of the reference human genome using gSNAP with parameters: --max-mismatches=0.06 -i2 -n2 --force-xs-dir and tolerance to SNPs in dbSNP build 138; Expression in terms of RPKM (reads per kilobase of transcript per million reads mapped) was derived using Cufflinks and Ensembl’s GRch37.82 GTF.; Due to the high proportion of cardiac mRNA reads known to map to the mitochondria, mitochondrial genes were removed from the GTF file for a final set of 57,974 annotations.; Genome_build: Hg19; Supplementary_files_format_and_content: Tab-delimited text files include RPKM values for each gene and sample",GPL16791
