GSM,condition,title,source_name,organism,characteristics,molecule,extract_protocol,data_processing,platform
GSM3417066,healthy,NF_RV1,Right Ventricle,Homo sapiens,tissue: Right Ventricle; condition: Not Failing,polyA RNA,"Human ventricular myocardium was obtained from end-stage ischemic cardiomyopathic hearts explanted at the time of cardiac transplantation. Non-failing donor hearts that had been deemed unsuitable for transplantation were used as control. Prior to explant, hearts underwent intra-operative antegrade coronary perfusion with 4:1 blood cardioplegia solution. Following arrest, hearts were explanted and placed into cold Ca2+-free, modified Krebs-Henseleit solution as previously described (120). Samples were taken from mid-myocardial regions of the left ventricular free wall and the right ventricular free wall, in areas void of scar tissue. Tissue samples were rapidly frozen in liquid nitrogen and stored at -80°C until RNA isolation. Prospective written informed consent for research use of heart tissue was obtained from all transplant recipients or next of kin (non-failing donors). Patient consent, sample collection and preparation, and clinical data collection were performed according to a human subject research protocol approved by the Institutional Review Board of the Lewis Katz School of Medicine at Temple University (PI: Tsai).; Sequencing libraries were generated using a NEBNext Ultra™ RNA Library Prep Kit for Illumina  following the manufacturer’s recommendations",Remove Adapters and low quality reads using Cutadapt; Reads mapped to genome using HISAT2 with standard parameters; Transcripts assembled using StringTie and merged together with gtfcompare to create unified mRNA expression profile; Differentially expressed mRNAs identified using Ballgown; Genome_build: hg38; Supplementary_files_format_and_content: CSV file with FPKMs and raw counts of each mapped gene,GPL16791
GSM3417067,healthy,NF_RV2,Right Ventricle,Homo sapiens,tissue: Right Ventricle; condition: Not Failing,polyA RNA,"Human ventricular myocardium was obtained from end-stage ischemic cardiomyopathic hearts explanted at the time of cardiac transplantation. Non-failing donor hearts that had been deemed unsuitable for transplantation were used as control. Prior to explant, hearts underwent intra-operative antegrade coronary perfusion with 4:1 blood cardioplegia solution. Following arrest, hearts were explanted and placed into cold Ca2+-free, modified Krebs-Henseleit solution as previously described (120). Samples were taken from mid-myocardial regions of the left ventricular free wall and the right ventricular free wall, in areas void of scar tissue. Tissue samples were rapidly frozen in liquid nitrogen and stored at -80°C until RNA isolation. Prospective written informed consent for research use of heart tissue was obtained from all transplant recipients or next of kin (non-failing donors). Patient consent, sample collection and preparation, and clinical data collection were performed according to a human subject research protocol approved by the Institutional Review Board of the Lewis Katz School of Medicine at Temple University (PI: Tsai).; Sequencing libraries were generated using a NEBNext Ultra™ RNA Library Prep Kit for Illumina  following the manufacturer’s recommendations",Remove Adapters and low quality reads using Cutadapt; Reads mapped to genome using HISAT2 with standard parameters; Transcripts assembled using StringTie and merged together with gtfcompare to create unified mRNA expression profile; Differentially expressed mRNAs identified using Ballgown; Genome_build: hg38; Supplementary_files_format_and_content: CSV file with FPKMs and raw counts of each mapped gene,GPL16791
GSM3417068,healthy,NF_RV3,Right Ventricle,Homo sapiens,tissue: Right Ventricle; condition: Not Failing,polyA RNA,"Human ventricular myocardium was obtained from end-stage ischemic cardiomyopathic hearts explanted at the time of cardiac transplantation. Non-failing donor hearts that had been deemed unsuitable for transplantation were used as control. Prior to explant, hearts underwent intra-operative antegrade coronary perfusion with 4:1 blood cardioplegia solution. Following arrest, hearts were explanted and placed into cold Ca2+-free, modified Krebs-Henseleit solution as previously described (120). Samples were taken from mid-myocardial regions of the left ventricular free wall and the right ventricular free wall, in areas void of scar tissue. Tissue samples were rapidly frozen in liquid nitrogen and stored at -80°C until RNA isolation. Prospective written informed consent for research use of heart tissue was obtained from all transplant recipients or next of kin (non-failing donors). Patient consent, sample collection and preparation, and clinical data collection were performed according to a human subject research protocol approved by the Institutional Review Board of the Lewis Katz School of Medicine at Temple University (PI: Tsai).; Sequencing libraries were generated using a NEBNext Ultra™ RNA Library Prep Kit for Illumina  following the manufacturer’s recommendations",Remove Adapters and low quality reads using Cutadapt; Reads mapped to genome using HISAT2 with standard parameters; Transcripts assembled using StringTie and merged together with gtfcompare to create unified mRNA expression profile; Differentially expressed mRNAs identified using Ballgown; Genome_build: hg38; Supplementary_files_format_and_content: CSV file with FPKMs and raw counts of each mapped gene,GPL16791
GSM3417069,healthy,NF_RV4,Right Ventricle,Homo sapiens,tissue: Right Ventricle; condition: Not Failing,polyA RNA,"Human ventricular myocardium was obtained from end-stage ischemic cardiomyopathic hearts explanted at the time of cardiac transplantation. Non-failing donor hearts that had been deemed unsuitable for transplantation were used as control. Prior to explant, hearts underwent intra-operative antegrade coronary perfusion with 4:1 blood cardioplegia solution. Following arrest, hearts were explanted and placed into cold Ca2+-free, modified Krebs-Henseleit solution as previously described (120). Samples were taken from mid-myocardial regions of the left ventricular free wall and the right ventricular free wall, in areas void of scar tissue. Tissue samples were rapidly frozen in liquid nitrogen and stored at -80°C until RNA isolation. Prospective written informed consent for research use of heart tissue was obtained from all transplant recipients or next of kin (non-failing donors). Patient consent, sample collection and preparation, and clinical data collection were performed according to a human subject research protocol approved by the Institutional Review Board of the Lewis Katz School of Medicine at Temple University (PI: Tsai).; Sequencing libraries were generated using a NEBNext Ultra™ RNA Library Prep Kit for Illumina  following the manufacturer’s recommendations",Remove Adapters and low quality reads using Cutadapt; Reads mapped to genome using HISAT2 with standard parameters; Transcripts assembled using StringTie and merged together with gtfcompare to create unified mRNA expression profile; Differentially expressed mRNAs identified using Ballgown; Genome_build: hg38; Supplementary_files_format_and_content: CSV file with FPKMs and raw counts of each mapped gene,GPL16791
GSM3417070,healthy,NF_RV5,Right Ventricle,Homo sapiens,tissue: Right Ventricle; condition: Not Failing,polyA RNA,"Human ventricular myocardium was obtained from end-stage ischemic cardiomyopathic hearts explanted at the time of cardiac transplantation. Non-failing donor hearts that had been deemed unsuitable for transplantation were used as control. Prior to explant, hearts underwent intra-operative antegrade coronary perfusion with 4:1 blood cardioplegia solution. Following arrest, hearts were explanted and placed into cold Ca2+-free, modified Krebs-Henseleit solution as previously described (120). Samples were taken from mid-myocardial regions of the left ventricular free wall and the right ventricular free wall, in areas void of scar tissue. Tissue samples were rapidly frozen in liquid nitrogen and stored at -80°C until RNA isolation. Prospective written informed consent for research use of heart tissue was obtained from all transplant recipients or next of kin (non-failing donors). Patient consent, sample collection and preparation, and clinical data collection were performed according to a human subject research protocol approved by the Institutional Review Board of the Lewis Katz School of Medicine at Temple University (PI: Tsai).; Sequencing libraries were generated using a NEBNext Ultra™ RNA Library Prep Kit for Illumina  following the manufacturer’s recommendations",Remove Adapters and low quality reads using Cutadapt; Reads mapped to genome using HISAT2 with standard parameters; Transcripts assembled using StringTie and merged together with gtfcompare to create unified mRNA expression profile; Differentially expressed mRNAs identified using Ballgown; Genome_build: hg38; Supplementary_files_format_and_content: CSV file with FPKMs and raw counts of each mapped gene,GPL16791
GSM3417071,heart failure,LV-HF_RV1,Right Ventricle,Homo sapiens,tissue: Right Ventricle; condition: Left Ventricle Heart Failure,polyA RNA,"Human ventricular myocardium was obtained from end-stage ischemic cardiomyopathic hearts explanted at the time of cardiac transplantation. Non-failing donor hearts that had been deemed unsuitable for transplantation were used as control. Prior to explant, hearts underwent intra-operative antegrade coronary perfusion with 4:1 blood cardioplegia solution. Following arrest, hearts were explanted and placed into cold Ca2+-free, modified Krebs-Henseleit solution as previously described (120). Samples were taken from mid-myocardial regions of the left ventricular free wall and the right ventricular free wall, in areas void of scar tissue. Tissue samples were rapidly frozen in liquid nitrogen and stored at -80°C until RNA isolation. Prospective written informed consent for research use of heart tissue was obtained from all transplant recipients or next of kin (non-failing donors). Patient consent, sample collection and preparation, and clinical data collection were performed according to a human subject research protocol approved by the Institutional Review Board of the Lewis Katz School of Medicine at Temple University (PI: Tsai).; Sequencing libraries were generated using a NEBNext Ultra™ RNA Library Prep Kit for Illumina  following the manufacturer’s recommendations",Remove Adapters and low quality reads using Cutadapt; Reads mapped to genome using HISAT2 with standard parameters; Transcripts assembled using StringTie and merged together with gtfcompare to create unified mRNA expression profile; Differentially expressed mRNAs identified using Ballgown; Genome_build: hg38; Supplementary_files_format_and_content: CSV file with FPKMs and raw counts of each mapped gene,GPL16791
GSM3417072,heart failure,LV-HF_RV2,Right Ventricle,Homo sapiens,tissue: Right Ventricle; condition: Left Ventricle Heart Failure,polyA RNA,"Human ventricular myocardium was obtained from end-stage ischemic cardiomyopathic hearts explanted at the time of cardiac transplantation. Non-failing donor hearts that had been deemed unsuitable for transplantation were used as control. Prior to explant, hearts underwent intra-operative antegrade coronary perfusion with 4:1 blood cardioplegia solution. Following arrest, hearts were explanted and placed into cold Ca2+-free, modified Krebs-Henseleit solution as previously described (120). Samples were taken from mid-myocardial regions of the left ventricular free wall and the right ventricular free wall, in areas void of scar tissue. Tissue samples were rapidly frozen in liquid nitrogen and stored at -80°C until RNA isolation. Prospective written informed consent for research use of heart tissue was obtained from all transplant recipients or next of kin (non-failing donors). Patient consent, sample collection and preparation, and clinical data collection were performed according to a human subject research protocol approved by the Institutional Review Board of the Lewis Katz School of Medicine at Temple University (PI: Tsai).; Sequencing libraries were generated using a NEBNext Ultra™ RNA Library Prep Kit for Illumina  following the manufacturer’s recommendations",Remove Adapters and low quality reads using Cutadapt; Reads mapped to genome using HISAT2 with standard parameters; Transcripts assembled using StringTie and merged together with gtfcompare to create unified mRNA expression profile; Differentially expressed mRNAs identified using Ballgown; Genome_build: hg38; Supplementary_files_format_and_content: CSV file with FPKMs and raw counts of each mapped gene,GPL16791
GSM3417073,heart failure,LV-HF_RV3,Right Ventricle,Homo sapiens,tissue: Right Ventricle; condition: Left Ventricle Heart Failure,polyA RNA,"Human ventricular myocardium was obtained from end-stage ischemic cardiomyopathic hearts explanted at the time of cardiac transplantation. Non-failing donor hearts that had been deemed unsuitable for transplantation were used as control. Prior to explant, hearts underwent intra-operative antegrade coronary perfusion with 4:1 blood cardioplegia solution. Following arrest, hearts were explanted and placed into cold Ca2+-free, modified Krebs-Henseleit solution as previously described (120). Samples were taken from mid-myocardial regions of the left ventricular free wall and the right ventricular free wall, in areas void of scar tissue. Tissue samples were rapidly frozen in liquid nitrogen and stored at -80°C until RNA isolation. Prospective written informed consent for research use of heart tissue was obtained from all transplant recipients or next of kin (non-failing donors). Patient consent, sample collection and preparation, and clinical data collection were performed according to a human subject research protocol approved by the Institutional Review Board of the Lewis Katz School of Medicine at Temple University (PI: Tsai).; Sequencing libraries were generated using a NEBNext Ultra™ RNA Library Prep Kit for Illumina  following the manufacturer’s recommendations",Remove Adapters and low quality reads using Cutadapt; Reads mapped to genome using HISAT2 with standard parameters; Transcripts assembled using StringTie and merged together with gtfcompare to create unified mRNA expression profile; Differentially expressed mRNAs identified using Ballgown; Genome_build: hg38; Supplementary_files_format_and_content: CSV file with FPKMs and raw counts of each mapped gene,GPL16791
GSM3417074,heart failure,LV-HF_RV4,Right Ventricle,Homo sapiens,tissue: Right Ventricle; condition: Left Ventricle Heart Failure,polyA RNA,"Human ventricular myocardium was obtained from end-stage ischemic cardiomyopathic hearts explanted at the time of cardiac transplantation. Non-failing donor hearts that had been deemed unsuitable for transplantation were used as control. Prior to explant, hearts underwent intra-operative antegrade coronary perfusion with 4:1 blood cardioplegia solution. Following arrest, hearts were explanted and placed into cold Ca2+-free, modified Krebs-Henseleit solution as previously described (120). Samples were taken from mid-myocardial regions of the left ventricular free wall and the right ventricular free wall, in areas void of scar tissue. Tissue samples were rapidly frozen in liquid nitrogen and stored at -80°C until RNA isolation. Prospective written informed consent for research use of heart tissue was obtained from all transplant recipients or next of kin (non-failing donors). Patient consent, sample collection and preparation, and clinical data collection were performed according to a human subject research protocol approved by the Institutional Review Board of the Lewis Katz School of Medicine at Temple University (PI: Tsai).; Sequencing libraries were generated using a NEBNext Ultra™ RNA Library Prep Kit for Illumina  following the manufacturer’s recommendations",Remove Adapters and low quality reads using Cutadapt; Reads mapped to genome using HISAT2 with standard parameters; Transcripts assembled using StringTie and merged together with gtfcompare to create unified mRNA expression profile; Differentially expressed mRNAs identified using Ballgown; Genome_build: hg38; Supplementary_files_format_and_content: CSV file with FPKMs and raw counts of each mapped gene,GPL16791
GSM3417075,heart failure,LV-HF_RV5,Right Ventricle,Homo sapiens,tissue: Right Ventricle; condition: Left Ventricle Heart Failure,polyA RNA,"Human ventricular myocardium was obtained from end-stage ischemic cardiomyopathic hearts explanted at the time of cardiac transplantation. Non-failing donor hearts that had been deemed unsuitable for transplantation were used as control. Prior to explant, hearts underwent intra-operative antegrade coronary perfusion with 4:1 blood cardioplegia solution. Following arrest, hearts were explanted and placed into cold Ca2+-free, modified Krebs-Henseleit solution as previously described (120). Samples were taken from mid-myocardial regions of the left ventricular free wall and the right ventricular free wall, in areas void of scar tissue. Tissue samples were rapidly frozen in liquid nitrogen and stored at -80°C until RNA isolation. Prospective written informed consent for research use of heart tissue was obtained from all transplant recipients or next of kin (non-failing donors). Patient consent, sample collection and preparation, and clinical data collection were performed according to a human subject research protocol approved by the Institutional Review Board of the Lewis Katz School of Medicine at Temple University (PI: Tsai).; Sequencing libraries were generated using a NEBNext Ultra™ RNA Library Prep Kit for Illumina  following the manufacturer’s recommendations",Remove Adapters and low quality reads using Cutadapt; Reads mapped to genome using HISAT2 with standard parameters; Transcripts assembled using StringTie and merged together with gtfcompare to create unified mRNA expression profile; Differentially expressed mRNAs identified using Ballgown; Genome_build: hg38; Supplementary_files_format_and_content: CSV file with FPKMs and raw counts of each mapped gene,GPL16791
