GSM,condition,title,source_name,organism,characteristics,molecule,extract_protocol,data_processing,platform
GSM3483766,ICM,D1_1,peripheral blood mononuclear cells,Homo sapiens,tissue: blood; condition: subacute ischemic stroke,total RNA,"Total RNA was extracted from cell or animal tissue by Trizol reagent (Invitrogen) separately, The RNA quality was checked by Bioanalyzer 2200 (Aligent) and kept at -80℃.The RNA with RIN >8.0 is right for cDNA library construction.; RNA libraries were prepared for sequencing using standard Illumina protocols after removing the ribosome RNA",Reads filtering under criteria removing reads with 20% of the base quality lower than 13; HISAT2.1.0 mapping to reference genome; count counting; Genome_build: GRCh38; Supplementary_files_format_and_content: TXT file contain counts for each sample,GPL20795
GSM3483767,ICM,D1_2,peripheral blood mononuclear cells,Homo sapiens,tissue: blood; condition: subacute ischemic stroke,total RNA,"Total RNA was extracted from cell or animal tissue by Trizol reagent (Invitrogen) separately, The RNA quality was checked by Bioanalyzer 2200 (Aligent) and kept at -80℃.The RNA with RIN >8.0 is right for cDNA library construction.; RNA libraries were prepared for sequencing using standard Illumina protocols after removing the ribosome RNA",Reads filtering under criteria removing reads with 20% of the base quality lower than 13; HISAT2.1.0 mapping to reference genome; count counting; Genome_build: GRCh38; Supplementary_files_format_and_content: TXT file contain counts for each sample,GPL20795
GSM3483768,ICM,D1_3,peripheral blood mononuclear cells,Homo sapiens,tissue: blood; condition: subacute ischemic stroke,total RNA,"Total RNA was extracted from cell or animal tissue by Trizol reagent (Invitrogen) separately, The RNA quality was checked by Bioanalyzer 2200 (Aligent) and kept at -80℃.The RNA with RIN >8.0 is right for cDNA library construction.; RNA libraries were prepared for sequencing using standard Illumina protocols after removing the ribosome RNA",Reads filtering under criteria removing reads with 20% of the base quality lower than 13; HISAT2.1.0 mapping to reference genome; count counting; Genome_build: GRCh38; Supplementary_files_format_and_content: TXT file contain counts for each sample,GPL20795
GSM3483769,ICM,D1_4,peripheral blood mononuclear cells,Homo sapiens,tissue: blood; condition: subacute ischemic stroke,total RNA,"Total RNA was extracted from cell or animal tissue by Trizol reagent (Invitrogen) separately, The RNA quality was checked by Bioanalyzer 2200 (Aligent) and kept at -80℃.The RNA with RIN >8.0 is right for cDNA library construction.; RNA libraries were prepared for sequencing using standard Illumina protocols after removing the ribosome RNA",Reads filtering under criteria removing reads with 20% of the base quality lower than 13; HISAT2.1.0 mapping to reference genome; count counting; Genome_build: GRCh38; Supplementary_files_format_and_content: TXT file contain counts for each sample,GPL20795
GSM3483770,ICM,D1_5,peripheral blood mononuclear cells,Homo sapiens,tissue: blood; condition: subacute ischemic stroke,total RNA,"Total RNA was extracted from cell or animal tissue by Trizol reagent (Invitrogen) separately, The RNA quality was checked by Bioanalyzer 2200 (Aligent) and kept at -80℃.The RNA with RIN >8.0 is right for cDNA library construction.; RNA libraries were prepared for sequencing using standard Illumina protocols after removing the ribosome RNA",Reads filtering under criteria removing reads with 20% of the base quality lower than 13; HISAT2.1.0 mapping to reference genome; count counting; Genome_build: GRCh38; Supplementary_files_format_and_content: TXT file contain counts for each sample,GPL20795
GSM3483771,ICM,D2_1,peripheral blood mononuclear cells,Homo sapiens,tissue: blood; condition: acute ischemic stroke,total RNA,"Total RNA was extracted from cell or animal tissue by Trizol reagent (Invitrogen) separately, The RNA quality was checked by Bioanalyzer 2200 (Aligent) and kept at -80℃.The RNA with RIN >8.0 is right for cDNA library construction.; RNA libraries were prepared for sequencing using standard Illumina protocols after removing the ribosome RNA",Reads filtering under criteria removing reads with 20% of the base quality lower than 13; HISAT2.1.0 mapping to reference genome; count counting; Genome_build: GRCh38; Supplementary_files_format_and_content: TXT file contain counts for each sample,GPL20795
GSM3483772,ICM,D2_2,peripheral blood mononuclear cells,Homo sapiens,tissue: blood; condition: acute ischemic stroke,total RNA,"Total RNA was extracted from cell or animal tissue by Trizol reagent (Invitrogen) separately, The RNA quality was checked by Bioanalyzer 2200 (Aligent) and kept at -80℃.The RNA with RIN >8.0 is right for cDNA library construction.; RNA libraries were prepared for sequencing using standard Illumina protocols after removing the ribosome RNA",Reads filtering under criteria removing reads with 20% of the base quality lower than 13; HISAT2.1.0 mapping to reference genome; count counting; Genome_build: GRCh38; Supplementary_files_format_and_content: TXT file contain counts for each sample,GPL20795
GSM3483773,ICM,D2_3,peripheral blood mononuclear cells,Homo sapiens,tissue: blood; condition: acute ischemic stroke,total RNA,"Total RNA was extracted from cell or animal tissue by Trizol reagent (Invitrogen) separately, The RNA quality was checked by Bioanalyzer 2200 (Aligent) and kept at -80℃.The RNA with RIN >8.0 is right for cDNA library construction.; RNA libraries were prepared for sequencing using standard Illumina protocols after removing the ribosome RNA",Reads filtering under criteria removing reads with 20% of the base quality lower than 13; HISAT2.1.0 mapping to reference genome; count counting; Genome_build: GRCh38; Supplementary_files_format_and_content: TXT file contain counts for each sample,GPL20795
GSM3483774,ICM,D2_4,peripheral blood mononuclear cells,Homo sapiens,tissue: blood; condition: acute ischemic stroke,total RNA,"Total RNA was extracted from cell or animal tissue by Trizol reagent (Invitrogen) separately, The RNA quality was checked by Bioanalyzer 2200 (Aligent) and kept at -80℃.The RNA with RIN >8.0 is right for cDNA library construction.; RNA libraries were prepared for sequencing using standard Illumina protocols after removing the ribosome RNA",Reads filtering under criteria removing reads with 20% of the base quality lower than 13; HISAT2.1.0 mapping to reference genome; count counting; Genome_build: GRCh38; Supplementary_files_format_and_content: TXT file contain counts for each sample,GPL20795
GSM3483775,ICM,D2_6,peripheral blood mononuclear cells,Homo sapiens,tissue: blood; condition: acute ischemic stroke,total RNA,"Total RNA was extracted from cell or animal tissue by Trizol reagent (Invitrogen) separately, The RNA quality was checked by Bioanalyzer 2200 (Aligent) and kept at -80℃.The RNA with RIN >8.0 is right for cDNA library construction.; RNA libraries were prepared for sequencing using standard Illumina protocols after removing the ribosome RNA",Reads filtering under criteria removing reads with 20% of the base quality lower than 13; HISAT2.1.0 mapping to reference genome; count counting; Genome_build: GRCh38; Supplementary_files_format_and_content: TXT file contain counts for each sample,GPL20795
