GSM,condition,title,source_name,organism,characteristics,molecule,extract_protocol,data_processing,platform
GSM1357994,healthy,101_OC-OL127,healthy cortex,Homo sapiens,tissue: healthy cortex,total RNA,RNAeasy kit (Qiagen); RNA libraries were prepared for sequencing using standard Illumina protocols and clustered on cBot,Bcl to Fastq conversion was performed using bcl2Fastq v1.8.3 from the CASAVA software suite; Potential fusions were analyzed using FusionMap; Genome_build: hg19; Supplementary_files_format_and_content: tab-delimited text files include output from FusionMap for each Sample 1-13,GPL11154
GSM1357995,healthy,102_OC-OL114,healthy cortex,Homo sapiens,tissue: healthy cortex,total RNA,RNAeasy kit (Qiagen); RNA libraries were prepared for sequencing using standard Illumina protocols and clustered on cBot,Bcl to Fastq conversion was performed using bcl2Fastq v1.8.3 from the CASAVA software suite; Potential fusions were analyzed using FusionMap; Genome_build: hg19; Supplementary_files_format_and_content: tab-delimited text files include output from FusionMap for each Sample 1-13,GPL11154
GSM1357996,healthy,103_OC-D11472,healthy cortex,Homo sapiens,tissue: healthy cortex,total RNA,RNAeasy kit (Qiagen); RNA libraries were prepared for sequencing using standard Illumina protocols and clustered on cBot,Bcl to Fastq conversion was performed using bcl2Fastq v1.8.3 from the CASAVA software suite; Potential fusions were analyzed using FusionMap; Genome_build: hg19; Supplementary_files_format_and_content: tab-delimited text files include output from FusionMap for each Sample 1-13,GPL11154
GSM1357997,healthy,104_OC-DD332,healthy cortex,Homo sapiens,tissue: healthy cortex,total RNA,RNAeasy kit (Qiagen); RNA libraries were prepared for sequencing using standard Illumina protocols and clustered on cBot,Bcl to Fastq conversion was performed using bcl2Fastq v1.8.3 from the CASAVA software suite; Potential fusions were analyzed using FusionMap; Genome_build: hg19; Supplementary_files_format_and_content: tab-delimited text files include output from FusionMap for each Sample 1-13,GPL11154
GSM1357998,healthy,105_OC-2002UD,healthy cortex,Homo sapiens,tissue: healthy cortex,total RNA,RNAeasy kit (Qiagen); RNA libraries were prepared for sequencing using standard Illumina protocols and clustered on cBot,Bcl to Fastq conversion was performed using bcl2Fastq v1.8.3 from the CASAVA software suite; Potential fusions were analyzed using FusionMap; Genome_build: hg19; Supplementary_files_format_and_content: tab-delimited text files include output from FusionMap for each Sample 1-13,GPL11154
GSM1357999,ischemic stroke,106_STROKE-OL274,cortical ischemic stroke tissue,Homo sapiens,tissue: cortical ischemic stroke tissue,total RNA,RNAeasy kit (Qiagen); RNA libraries were prepared for sequencing using standard Illumina protocols and clustered on cBot,Bcl to Fastq conversion was performed using bcl2Fastq v1.8.3 from the CASAVA software suite; Potential fusions were analyzed using FusionMap; Genome_build: hg19; Supplementary_files_format_and_content: tab-delimited text files include output from FusionMap for each Sample 1-13,GPL11154
GSM1358000,ischemic stroke,107_STROKE-2012L5,cortical ischemic stroke tissue,Homo sapiens,tissue: cortical ischemic stroke tissue,total RNA,RNAeasy kit (Qiagen); RNA libraries were prepared for sequencing using standard Illumina protocols and clustered on cBot,Bcl to Fastq conversion was performed using bcl2Fastq v1.8.3 from the CASAVA software suite; Potential fusions were analyzed using FusionMap; Genome_build: hg19; Supplementary_files_format_and_content: tab-delimited text files include output from FusionMap for each Sample 1-13,GPL11154
GSM1358001,ischemic stroke,108_STROKE-DD147-12,cortical ischemic stroke tissue,Homo sapiens,tissue: cortical ischemic stroke tissue,total RNA,RNAeasy kit (Qiagen); RNA libraries were prepared for sequencing using standard Illumina protocols and clustered on cBot,Bcl to Fastq conversion was performed using bcl2Fastq v1.8.3 from the CASAVA software suite; Potential fusions were analyzed using FusionMap; Genome_build: hg19; Supplementary_files_format_and_content: tab-delimited text files include output from FusionMap for each Sample 1-13,GPL11154
GSM1358002,ischemic stroke,109_STROKE-D2421,cortical ischemic stroke tissue,Homo sapiens,tissue: cortical ischemic stroke tissue,total RNA,RNAeasy kit (Qiagen); RNA libraries were prepared for sequencing using standard Illumina protocols and clustered on cBot,Bcl to Fastq conversion was performed using bcl2Fastq v1.8.3 from the CASAVA software suite; Potential fusions were analyzed using FusionMap; Genome_build: hg19; Supplementary_files_format_and_content: tab-delimited text files include output from FusionMap for each Sample 1-13,GPL11154
GSM1358003,ischemic stroke,110_STROKE-D202-11,cortical ischemic stroke tissue,Homo sapiens,tissue: cortical ischemic stroke tissue,total RNA,RNAeasy kit (Qiagen); RNA libraries were prepared for sequencing using standard Illumina protocols and clustered on cBot,Bcl to Fastq conversion was performed using bcl2Fastq v1.8.3 from the CASAVA software suite; Potential fusions were analyzed using FusionMap; Genome_build: hg19; Supplementary_files_format_and_content: tab-delimited text files include output from FusionMap for each Sample 1-13,GPL11154
GSM1358004,healthy,101_index1,healthy cortex,Homo sapiens,tissue: healthy cortex,total RNA,RNAeasy kit (Qiagen); RNA libraries were prepared for sequencing using standard Illumina protocols and clustered on cBot,Bcl to Fastq conversion was performed using bcl2Fastq v1.8.3 from the CASAVA software suite; Potential fusions were analyzed using FusionMap; Genome_build: hg19; Supplementary_files_format_and_content: tab-delimited text files include output from FusionMap for each Sample 1-13,GPL11154
GSM1358005,ischemic stroke,102_index2,cortical ischemic stroke tissue,Homo sapiens,tissue: cortical ischemic stroke tissue,total RNA,RNAeasy kit (Qiagen); RNA libraries were prepared for sequencing using standard Illumina protocols and clustered on cBot,Bcl to Fastq conversion was performed using bcl2Fastq v1.8.3 from the CASAVA software suite; Potential fusions were analyzed using FusionMap; Genome_build: hg19; Supplementary_files_format_and_content: tab-delimited text files include output from FusionMap for each Sample 1-13,GPL11154
